PMT_SITE,window,year,treated,p_treated,cluster_kmeans,cluster_gmm,anomaly_if,anomaly_lof,unsup_risk
15022771821FP,0,2020,0,0.0000,0,1,0.5269,1.8186,1.1727
15022771821FP,1,2021,1,0.8146,0,1,0.4703,1.0597,0.7650
15022772820SP,1,2020,1,1.0000,1,0,0.3727,0.9964,0.6845
15022772921FP,1,2021,1,0.7903,1,1,0.5561,2.0555,1.3058
15022774721FP,0,2021,1,0.8368,0,1,0.5466,1.7312,1.1389
15022774921FP,1,2021,1,0.9188,1,1,0.6113,1.9726,1.2919
15022776021FP,0,2021,1,0.9479,0,1,0.6180,1.8640,1.2410
15022776320FP,0,2020,1,1.0000,0,1,0.5418,1.7800,1.1609
15022776821FP,0,2021,1,0.7118,0,1,0.5728,1.5828,1.0778
1502300309PO,0,2020,0,0.0000,1,1,0.5517,2.7443,1.6480
1502300312WPO,0,2020,0,0.0000,1,1,0.5462,2.1004,1.3233
1504213P2,1,2021,0,0.0000,0,0,0.4370,0.9775,0.7073
1504213P3,0,2020,0,0.0000,0,1,0.4994,2.1373,1.3183
1504213P3,2,2021,0,0.0000,0,0,0.4416,0.9775,0.7096
1504213P3P,0,2020,1,0.8076,1,1,0.5853,3.8411,2.2132
1504213P4,2,2021,0,0.0000,0,0,0.4334,0.9717,0.7025
1504311203PO,1,2021,0,0.3021,1,0,0.3764,0.9794,0.6779
1504311205PO,1,2021,0,0.1042,0,0,0.4273,1.1526,0.7900
1504311207PO,1,2021,0,0.2222,0,0,0.4311,1.1332,0.7821
1504311208WPO,0,2020,1,0.9479,1,0,0.4034,1.0594,0.7314
1504311211PO,0,2020,1,0.9201,1,0,0.3999,1.0889,0.7444
1504311212PO,1,2021,0,0.2000,1,0,0.3957,1.0236,0.7096
150449844AC,0,2020,1,0.9778,1,0,0.4226,1.2943,0.8584
1504498DUFFWP,1,2021,1,0.9792,1,1,0.4873,2.3560,1.4216
1504498ORAN80P,0,2020,1,0.8710,1,0,0.4218,1.2472,0.8345
1504498ORANG80P,1,2021,1,1.0000,1,0,0.4065,1.0346,0.7205
1504498SDSP,1,2020,1,0.9792,1,0,0.3932,1.1725,0.7828
1504498SDSP,2,2021,1,1.0000,1,0,0.3979,1.0532,0.7256
1504512STOCKWP,0,2020,1,1.0000,1,0,0.4262,1.0911,0.7586
15045481H,1,2021,1,0.9132,1,0,0.3896,1.0470,0.7183
15045484P,0,2019,0,0.0000,0,1,0.5759,1.4163,0.9961
15045484P,1,2020,1,0.9688,1,0,0.3956,1.1281,0.7618
1504548PM1,0,2020,1,1.0000,0,1,0.5431,2.3829,1.4630
